SAP,Material Description,routing time,Class,Class Code
500327015,"AcT Socket Z2100115,v740_506.8.42.46.4",1.0,Low,1
500378035,"AcT Socket Z2100118,v740",1.86,Low,1
500320232,AcT Socket Z2100148v740_501.0.54.38.0KOD,1.0,Low,1
500313559,"AcT Socket Z2100214,v740_505.4.48.42.0",2.0,Low,1
500342930,"AcT Socket Z2100270,v740_501.0.55.38.5",4.0,Low,1
500373525,"AcT Socket Z2100293,v740_502.20.39.58.0",2.0,Low,1
500355054,AcT_wired_backpack,4.0,Low,1
500211434,adaptador suport_90 ° 3 segm,5.6,Low,1
500345404,Adapterpl_Lichtl_FOT_TVKL_li/re-TEOC-512,30.0,Low,1
500231578,Adapteur_komax_G2421003,10.0,Low,1
500373194,Adapting cable_Receptor_WWL,15.0,Low,1
500211658,adaptor suport_90°_4Segm,9.3,Low,1
500315083,"Ansambl.1corp 8B001041,G0002257,T0200354",300.0,Medium,2
500438675,Anschl.Ltg_EXT_Abf-2pol_2000mm,2.0,Low,1
500438676,Anschl.Ltg_EXT_Abf-4pol_2000mm,2.0,Low,1
500438677,Anschl.Ltg_EXT_Abf-6pol_2000mm,2.0,Low,1
500438678,Anschl.Ltg_EXT_Abf-8pol_2000mm,2.0,Low,1
500383150,"Anschl.Ltg_verdr.2Pol_ws,br_1,2m_0,13mm²",0.5,Low,1
500539707,"Anschl.Ltg,DRX390-Durchfluss-2pol_m.KT_M",1.0,Low,1
500328120,Anschlusskabel für LED Anzeige bei DP,1.5,Low,1
500311955,"Anschlussleitung_0,13mmp_schwarz_DRX360",1.0,Low,1
500315084,"Ansembly 2 maner 8B001041,G0002257",15.0,Low,1
500275520,Antirotating safety,0.93,Low,1
500338854,Articulated piece 2 (normal) New,2.0,Low,1
500244994,"Asambly giesskern G4722015,G0001086,D1",1.0,Low,1
500318140,Assambly cover of protection forB0007110,5.0,Low,1
500454287,Assambly table_TPT,480.0,Very High,4
500242565,Assembl.Palettwagen fuer Messungen Komax,30.0,Low,1
500346195,Assembly for PA FAKRA 30°,7.0,Low,1
500383164,"Assembly Form. B0101432,polyrethan",10.0,Low,1
500248963,Aufrechterhaltung f.barette gummy,2.0,Low,1
500330797,Base cable_Verpacktisch-VW48-IR-LL_3,480.0,Very High,4
500330799,Base cable_Verpacktisch-VW48-IR-LL_4,480.0,Very High,4
